Timestamp,Ticker,Action,Price,Volume
2026-07-08 09:30:01,AAPL,BUY,180.25,200
2026-07-08 09:30:10,AAPL,SELL,180.30,100
2026-07-08 09:31:05,AAPL,BUY,180.28,150
2026-07-08 09:32:20,AAPL,SELL,180.35,120
2026-07-08 09:33:40,AAPL,BUY,180.27,180
2026-07-08 09:34:15,AAPL,SELL,180.32,130
2026-07-08 09:35:10,AAPL,BUY,180.40,250
2026-07-08 09:36:20,AAPL,SELL,180.45,170
2026-07-08 09:37:30,AAPL,BUY,180.42,220
2026-07-08 09:38:50,AAPL,SELL,180.48,140
2026-07-08 09:39:40,AAPL,BUY,180.46,210
2026-07-08 09:40:15,AAPL,SELL,180.50,160
2026-07-08 09:30:05,MSFT,BUY,335.10,300
2026-07-08 09:30:45,MSFT,SELL,335.20,180
2026-07-08 09:31:30,MSFT,BUY,335.15,220
2026-07-08 09:32:40,MSFT,SELL,335.25,150
2026-07-08 09:33:10,MSFT,BUY,335.18,270
2026-07-08 09:34:50,MSFT,SELL,335.30,200
2026-07-08 09:35:40,MSFT,BUY,335.35,320
2026-07-08 09:36:15,MSFT,SELL,335.40,190
2026-07-08 09:37:20,MSFT,BUY,335.38,260
2026-07-08 09:38:55,MSFT,SELL,335.45,210
2026-07-08 09:39:35,MSFT,BUY,335.42,280
2026-07-08 09:40:25,MSFT,SELL,335.50,170
2026-07-08 09:30:12,GOOG,BUY,145.20,150
2026-07-08 09:30:50,GOOG,SELL,145.30,120
2026-07-08 09:31:40,GOOG,BUY,145.25,170
2026-07-08 09:32:25,GOOG,SELL,145.35,130
2026-07-08 09:33:55,GOOG,BUY,145.28,160
2026-07-08 09:34:35,GOOG,SELL,145.40,140
2026-07-08 09:35:20,GOOG,BUY,145.45,180
2026-07-08 09:36:10,GOOG,SELL,145.50,150
2026-07-08 09:37:45,GOOG,BUY,145.48,200
2026-07-08 09:38:30,GOOG,SELL,145.55,160
2026-07-08 09:39:20,GOOG,BUY,145.52,210
2026-07-08 09:40:05,GOOG,SELL,145.60,170
