VehicleID,Timestamp,Latitude,Longitude,Speed
TX101,2026-07-01 08:00:00,28.4595,77.0266,12
TX101,2026-07-01 08:05:00,28.4602,77.0271,18
TX101,2026-07-01 08:10:00,28.4610,77.0280,25
TX101,2026-07-01 08:15:00,28.4621,77.0292,10
TX101,2026-07-01 08:20:00,28.4635,77.0305,6
TX102,2026-07-01 09:00:00,28.4700,77.0350,40
TX102,2026-07-01 09:05:00,28.4715,77.0360,42
TX102,2026-07-01 09:10:00,28.4728,77.0372,35
TX102,2026-07-01 09:15:00,28.4740,77.0383,20
TX102,2026-07-01 09:20:00,28.4750,77.0395,15
TX103,2026-07-01 10:00:00,28.4800,77.0400,55
TX103,2026-07-01 10:05:00,28.4812,77.0415,52
TX103,2026-07-01 10:10:00,28.4825,77.0430,48
TX103,2026-07-01 10:15:00,28.4840,77.0445,30
TX103,2026-07-01 10:20:00,28.4852,77.0460,18
TX104,2026-07-01 11:00:00,28.4900,77.0500,60
TX104,2026-07-01 11:05:00,28.4915,77.0515,58
TX104,2026-07-01 11:10:00,28.4930,77.0530,45
TX104,2026-07-01 11:15:00,28.4945,77.0545,25
TX104,2026-07-01 11:20:00,28.4960,77.0560,12
